"Theme 1 - 2 : Persons by sex, age and marital status, 2006";;;;;;;;;;;;;
;"Marital Status";"Males - Total";"Males - Single";"Males - Married";"Males - Separated";"Males - Divorced";"Males - Widowed";"Females - Total";"Females - Single";"Females - Married";"Females - Separated";"Females - Divorced";"Females - Widowed"
;"10 - 14 years";24;24;0;0;0;0;28;28;0;0;0;0
;"15 - 19 years";19;19;0;0;0;0;22;22;0;0;0;0
"012 Curraghbeg";"0 - 4 years";4;4;0;0;0;0;4;4;0;0;0;0
;"5 - 9 years";3;3;0;0;0;0;7;7;0;0;0;0
;"10 - 14 years";5;5;0;0;0;0;6;6;0;0;0;0
;"15 - 19 years";8;8;0;0;0;0;7;7;0;0;0;0
"013 Darrynane";"0 - 4 years";2;2;0;0;0;0;5;5;0;0;0;0
;"5 - 9 years";3;3;0;0;0;0;7;7;0;0;0;0
;"10 - 14 years";3;3;0;0;0;0;6;6;0;0;0;0
;"15 - 19 years";2;2;0;0;0;0;2;2;0;0;0;0
"014/011 Cloon/Daoire Ianna";"0 - 4 years";9;9;0;0;0;0;8;8;0;0;0;0
;"5 - 9 years";3;3;0;0;0;0;8;8;0;0;0;0
;"10 - 14 years";8;8;0;0;0;0;12;12;0;0;0;0
;"15 - 19 years";9;9;0;0;0;0;10;10;0;0;0;0
"015 Emlagh";"0 - 4 years";23;23;0;0;0;0;32;32;0;0;0;0
;"5 - 9 years";36;36;0;0;0;0;27;27;0;0;0;0
;"10 - 14 years";20;20;0;0;0;0;34;34;0;0;0;0
;"15 - 19 years";36;36;0;0;0;0;25;25;0;0;0;0
"016 Glanbehy";"0 - 4 years";34;34;0;0;0;0;40;40;0;0;0;0
;"5 - 9 years";26;26;0;0;0;0;39;39;0;0;0;0
;"10 - 14 years";33;33;0;0;0;0;45;45;0;0;0;0
;"15 - 19 years";44;44;0;0;0;0;29;29;0;0;0;0
"017 Killinane";"0 - 4 years";5;5;0;0;0;0;6;6;0;0;0;0
;"5 - 9 years";6;6;0;0;0;0;4;4;0;0;0;0
;"10 - 14 years";5;5;0;0;0;0;3;3;0;0;0;0
;"15 - 19 years";15;15;0;0;0;0;7;7;0;0;0;0
"018 Lickeen";"0 - 4 years";5;5;0;0;0;0;4;4;0;0;0;0
;"5 - 9 years";5;5;0;0;0;0;8;8;0;0;0;0
;"10 - 14 years";6;6;0;0;0;0;2;2;0;0;0;0
;"15 - 19 years";4;4;0;0;0;0;2;2;0;0;0;0
"019 Loughcurrane";"0 - 4 years";11;11;0;0;0;0;8;8;0;0;0;0
;"5 - 9 years";10;10;0;0;0;0;8;8;0;0;0;0
;"10 - 14 years";4;4;0;0;0;0;10;10;0;0;0;0
;"15 - 19 years";5;5;0;0;0;0;9;9;0;0;0;0
"021 Maum";"0 - 4 years";8;8;0;0;0;0;3;3;0;0;0;0
;"5 - 9 years";13;13;0;0;0;0;13;13;0;0;0;0
;"10 - 14 years";9;9;0;0;0;0;14;14;0;0;0;0
;"15 - 19 years";6;6;0;0;0;0;12;12;0;0;0;0
"022 Portmagee";"0 - 4 years";13;13;0;0;0;0;9;9;0;0;0;0
;"5 - 9 years";11;11;0;0;0;0;6;6;0;0;0;0
;"10 - 14 years";9;9;0;0;0;0;10;10;0;0;0;0
;"15 - 19 years";11;11;0;0;0;0;8;8;0;0;0;0
"023 St. Finan's";"0 - 4 years";5;5;0;0;0;0;3;3;0;0;0;0
;"5 - 9 years";1;1;0;0;0;0;7;7;0;0;0;0
;"10 - 14 years";11;11;0;0;0;0;3;3;0;0;0;0
;"15 - 19 years";6;6;0;0;0;0;1;1;0;0;0;0
"024 Teeranearagh";"0 - 4 years";7;7;0;0;0;0;6;6;0;0;0;0
;"5 - 9 years";12;12;0;0;0;0;6;6;0;0;0;0
;"10 - 14 years";13;13;0;0;0;0;4;4;0;0;0;0
;"15 - 19 years";16;16;0;0;0;0;7;7;0;0;0;0
"025 Valencia";"0 - 4 years";26;26;0;0;0;0;13;13;0;0;0;0
;"5 - 9 years";21;21;0;0;0;0;14;14;0;0;0;0
;"10 - 14 years";33;33;0;0;0;0;20;20;0;0;0;0
;"15 - 19 years";26;26;0;0;0;0;27;27;0;0;0;0
"026 Ballinvoher";"0 - 4 years";20;20;0;0;0;0;19;19;0;0;0;0
;"5 - 9 years";19;19;0;0;0;0;21;21;0;0;0;0
;"10 - 14 years";12;12;0;0;0;0;14;14;0;0;0;0
;"15 - 19 years";13;13;0;0;0;0;11;11;0;0;0;0
"027 Ballyduff";"0 - 4 years";0;0;0;0;0;0;1;1;0;0;0;0
;"5 - 9 years";1;1;0;0;0;0;6;6;0;0;0;0
;"10 - 14 years";5;5;0;0;0;0;8;8;0;0;0;0
;"15 - 19 years";5;5;0;0;0;0;4;4;0;0;0;0
"028 Ballynacourty";"0 - 4 years";7;7;0;0;0;0;6;6;0;0;0;0
;"5 - 9 years";8;8;0;0;0;0;4;4;0;0;0;0
;"10 - 14 years";1;1;0;0;0;0;2;2;0;0;0;0
;"15 - 19 years";7;7;0;0;0;0;1;1;0;0;0;0
"029 Brandon";"0 - 4 years";3;3;0;0;0;0;5;5;0;0;0;0
;"5 - 9 years";8;8;0;0;0;0;7;7;0;0;0;0
;"10 - 14 years";8;8;0;0;0;0;7;7;0;0;0;0
;"15 - 19 years";3;3;0;0;0;0;6;6;0;0;0;0
"030 Castlegregory";"0 - 4 years";28;28;0;0;0;0;30;30;0;0;0;0
;"5 - 9 years";26;26;0;0;0;0;41;41;0;0;0;0
;"10 - 14 years";29;29;0;0;0;0;30;30;0;0;0;0
;"15 - 19 years";40;40;0;0;0;0;20;20;0;0;0;0
"031 Cloghane";"0 - 4 years";9;9;0;0;0;0;6;6;0;0;0;0
;"5 - 9 years";9;9;0;0;0;0;11;11;0;0;0;0
;"10 - 14 years";8;8;0;0;0;0;8;8;0;0;0;0
;"15 - 19 years";13;13;0;0;0;0;12;12;0;0;0;0
"032 Deelis";"0 - 4 years";2;2;0;0;0;0;4;4;0;0;0;0
;"5 - 9 years";5;5;0;0;0;0;4;4;0;0;0;0
;"10 - 14 years";6;6;0;0;0;0;9;9;0;0;0;0
;"15 - 19 years";7;7;0;0;0;0;12;12;0;0;0;0
"033 An Daingean";"0 - 4 years";44;44;0;0;0;0;33;33;0;0;0;0
;"5 - 9 years";43;43;0;0;0;0;49;49;0;0;0;0
;"10 - 14 years";46;46;0;0;0;0;41;41;0;0;0;0
;"15 - 19 years";45;44;0;0;0;1;43;43;0;0;0;0
"034 Dunquin";"0 - 4 years";6;6;0;0;0;0;3;3;0;0;0;0
;"5 - 9 years";3;3;0;0;0;0;2;2;0;0;0;0
;"10 - 14 years";5;5;0;0;0;0;4;4;0;0;0;0
;"15 - 19 years";8;8;0;0;0;0;6;6;0;0;0;0
"035 Dunurlin";"0 - 4 years";17;17;0;0;0;0;15;15;0;0;0;0
;"5 - 9 years";18;18;0;0;0;0;15;15;0;0;0;0
;"10 - 14 years";14;14;0;0;0;0;14;14;0;0;0;0
;"15 - 19 years";11;11;0;0;0;0;14;14;0;0;0;0
"036 Glin";"0 - 4 years";32;32;0;0;0;0;48;48;0;0;0;0
;"5 - 9 years";53;53;0;0;0;0;63;63;0;0;0;0
;"10 - 14 years";57;57;0;0;0;0;80;80;0;0;0;0
;"15 - 19 years";42;42;0;0;0;0;77;77;0;0;0;0
"037 Inch";"0 - 4 years";1;1;0;0;0;0;3;3;0;0;0;0
;"5 - 9 years";7;7;0;0;0;0;3;3;0;0;0;0
;"10 - 14 years";6;6;0;0;0;0;4;4;0;0;0;0
;"15 - 19 years";6;6;0;0;0;0;8;8;0;0;0;0
"038 Kilmalkedar";"0 - 4 years";14;14;0;0;0;0;10;10;0;0;0;0
;"5 - 9 years";15;15;0;0;0;0;19;19;0;0;0;0
;"10 - 14 years";19;19;0;0;0;0;15;15;0;0;0;0
;"15 - 19 years";22;22;0;0;0;0;18;18;0;0;0;0
"039 Cill Chuáin";"0 - 4 years";11;11;0;0;0;0;6;6;0;0;0;0
;"5 - 9 years";17;17;0;0;0;0;18;18;0;0;0;0
;"10 - 14 years";25;25;0;0;0;0;17;17;0;0;0;0
;"15 - 19 years";14;14;0;0;0;0;18;18;0;0;0;0
"040 Kinard";"0 - 4 years";12;12;0;0;0;0;5;5;0;0;0;0
;"5 - 9 years";10;10;0;0;0;0;13;13;0;0;0;0
;"10 - 14 years";17;17;0;0;0;0;18;18;0;0;0;0
;"15 - 19 years";17;17;0;0;0;0;13;12;1;0;0;0
"041 Lack";"0 - 4 years";6;6;0;0;0;0;14;14;0;0;0;0
;"5 - 9 years";15;15;0;0;0;0;13;13;0;0;0;0
;"10 - 14 years";6;6;0;0;0;0;15;15;0;0;0;0
;"15 - 19 years";8;8;0;0;0;0;10;10;0;0;0;0
"042 Márthain";"0 - 4 years";2;2;0;0;0;0;9;9;0;0;0;0
;"5 - 9 years";7;7;0;0;0;0;6;6;0;0;0;0
;"10 - 14 years";7;7;0;0;0;0;4;4;0;0;0;0
;"15 - 19 years";6;6;0;0;0;0;8;8;0;0;0;0
"043 An Mhin Aird";"0 - 4 years";9;9;0;0;0;0;7;7;0;0;0;0
;"5 - 9 years";8;8;0;0;0;0;17;17;0;0;0;0
;"10 - 14 years";18;18;0;0;0;0;17;17;0;0;0;0
;"15 - 19 years";20;20;0;0;0;0;18;18;0;0;0;0
"044 An Sráidbhaile";"0 - 4 years";7;7;0;0;0;0;7;7;0;0;0;0
;"5 - 9 years";7;7;0;0;0;0;6;6;0;0;0;0
;"10 - 14 years";7;7;0;0;0;0;7;7;0;0;0;0
;"15 - 19 years";7;7;0;0;0;0;8;8;0;0;0;0
"045 Ceann Trá";"0 - 4 years";7;7;0;0;0;0;10;10;0;0;0;0
;"5 - 9 years";8;8;0;0;0;0;11;11;0;0;0;0
;"10 - 14 years";15;15;0;0;0;0;14;14;0;0;0;0
;"15 - 19 years";12;12;0;0;0;0;21;21;0;0;0;0
"046 Ardea";"0 - 4 years";6;6;0;0;0;0;7;7;0;0;0;0
;"5 - 9 years";2;2;0;0;0;0;7;7;0;0;0;0
;"10 - 14 years";6;6;0;0;0;0;3;3;0;0;0;0
;"15 - 19 years";5;5;0;0;0;0;4;4;0;0;0;0
"047 Banawn";"0 - 4 years";7;7;0;0;0;0;5;5;0;0;0;0
;"5 - 9 years";11;11;0;0;0;0;11;11;0;0;0;0
;"10 - 14 years";3;3;0;0;0;0;7;7;0;0;0;0
;"15 - 19 years";8;8;0;0;0;0;8;8;0;0;0;0
"048 Cappagh";"0 - 4 years";12;12;0;0;0;0;17;17;0;0;0;0
;"5 - 9 years";15;15;0;0;0;0;13;13;0;0;0;0
;"10 - 14 years";7;7;0;0;0;0;8;8;0;0;0;0
;"15 - 19 years";8;8;0;0;0;0;6;6;0;0;0;0
"049 Castlecove";"0 - 4 years";7;7;0;0;0;0;7;7;0;0;0;0
;"5 - 9 years";12;12;0;0;0;0;8;8;0;0;0;0
;"10 - 14 years";7;7;0;0;0;0;4;4;0;0;0;0
;"15 - 19 years";6;6;0;0;0;0;4;4;0;0;0;0
"050 Dawros";"0 - 4 years";19;19;0;0;0;0;15;15;0;0;0;0
;"5 - 9 years";22;22;0;0;0;0;15;15;0;0;0;0
;"10 - 14 years";16;16;0;0;0;0;16;16;0;0;0;0
;"15 - 19 years";27;27;0;0;0;0;21;21;0;0;0;0
"051 Dromore";"0 - 4 years";7;7;0;0;0;0;7;7;0;0;0;0
;"5 - 9 years";12;12;0;0;0;0;11;11;0;0;0;0
;"10 - 14 years";14;14;0;0;0;0;7;7;0;0;0;0
;"15 - 19 years";8;8;0;0;0;0;5;5;0;0;0;0
"052 Glanlee";"0 - 4 years";11;11;0;0;0;0;8;8;0;0;0;0
;"5 - 9 years";9;9;0;0;0;0;7;7;0;0;0;0
;"10 - 14 years";4;4;0;0;0;0;11;11;0;0;0;0
;"15 - 19 years";5;5;0;0;0;0;4;4;0;0;0;0
"053 Glanlough";"0 - 4 years";4;4;0;0;0;0;5;5;0;0;0;0
;"5 - 9 years";13;13;0;0;0;0;7;7;0;0;0;0
;"10 - 14 years";5;5;0;0;0;0;9;9;0;0;0;0
;"15 - 19 years";4;4;0;0;0;0;6;6;0;0;0;0
"054 Glanmore";"0 - 4 years";8;8;0;0;0;0;5;5;0;0;0;0
;"5 - 9 years";1;1;0;0;0;0;7;7;0;0;0;0
;"10 - 14 years";4;4;0;0;0;0;7;7;0;0;0;0
;"15 - 19 years";13;13;0;0;0;0;12;12;0;0;0;0
"055 Greenane";"0 - 4 years";6;6;0;0;0;0;8;8;0;0;0;0
;"5 - 9 years";11;11;0;0;0;0;7;7;0;0;0;0
;"10 - 14 years";13;13;0;0;0;0;11;11;0;0;0;0
;"15 - 19 years";7;7;0;0;0;0;5;5;0;0;0;0
"056 Kenmare";"0 - 4 years";71;71;0;0;0;0;92;92;0;0;0;0
;"5 - 9 years";72;72;0;0;0;0;78;78;0;0;0;0
;"10 - 14 years";80;80;0;0;0;0;64;64;0;0;0;0
;"15 - 19 years";70;70;0;0;0;0;56;55;1;0;0;0
"057 Kilgarvan";"0 - 4 years";23;23;0;0;0;0;12;12;0;0;0;0
;"5 - 9 years";23;23;0;0;0;0;21;21;0;0;0;0
;"10 - 14 years";25;25;0;0;0;0;19;19;0;0;0;0
;"15 - 19 years";15;15;0;0;0;0;21;21;0;0;0;0
"058 Loughbrin";"0 - 4 years";8;8;0;0;0;0;6;6;0;0;0;0
;"5 - 9 years";7;7;0;0;0;0;6;6;0;0;0;0
;"10 - 14 years";7;7;0;0;0;0;7;7;0;0;0;0
;"15 - 19 years";5;5;0;0;0;0;9;9;0;0;0;0
"059 Reen";"0 - 4 years";3;3;0;0;0;0;5;5;0;0;0;0
;"5 - 9 years";3;3;0;0;0;0;3;3;0;0;0;0
;"10 - 14 years";8;8;0;0;0;0;3;3;0;0;0;0
;"15 - 19 years";13;13;0;0;0;0;4;4;0;0;0;0
"060 Sneem";"0 - 4 years";13;13;0;0;0;0;12;12;0;0;0;0
;"5 - 9 years";9;9;0;0;0;0;18;18;0;0;0;0
;"10 - 14 years";16;16;0;0;0;0;10;10;0;0;0;0
;"15 - 19 years";19;19;0;0;0;0;8;8;0;0;0;0
"061 Tahilla";"0 - 4 years";3;3;0;0;0;0;4;4;0;0;0;0
;"5 - 9 years";8;8;0;0;0;0;4;4;0;0;0;0
;"10 - 14 years";7;7;0;0;0;0;5;5;0;0;0;0
;"15 - 19 years";7;7;0;0;0;0;4;4;0;0;0;0
"062 Aghadoe";"0 - 4 years";29;29;0;0;0;0;31;31;0;0;0;0
;"5 - 9 years";29;29;0;0;0;0;25;25;0;0;0;0
;"10 - 14 years";29;29;0;0;0;0;32;32;0;0;0;0
;"15 - 19 years";33;33;0;0;0;0;50;48;1;0;0;1
"063 Aglish";"0 - 4 years";12;12;0;0;0;0;9;9;0;0;0;0
;"5 - 9 years";16;16;0;0;0;0;18;18;0;0;0;0
;"10 - 14 years";15;15;0;0;0;0;12;12;0;0;0;0
;"15 - 19 years";15;15;0;0;0;0;9;9;0;0;0;0
"064 Ballyhar";"0 - 4 years";4;4;0;0;0;0;7;7;0;0;0;0
;"5 - 9 years";6;6;0;0;0;0;5;5;0;0;0;0
;"10 - 14 years";5;5;0;0;0;0;7;7;0;0;0;0
;"15 - 19 years";9;9;0;0;0;0;0;0;0;0;0;0
"065 Brewsterfield";"0 - 4 years";34;34;0;0;0;0;30;30;0;0;0;0
;"5 - 9 years";31;31;0;0;0;0;29;29;0;0;0;0
;"10 - 14 years";25;25;0;0;0;0;23;23;0;0;0;0
;"15 - 19 years";19;19;0;0;0;0;20;20;0;0;0;0
"066 Caragh";"0 - 4 years";38;38;0;0;0;0;30;30;0;0;0;0
;"5 - 9 years";36;36;0;0;0;0;30;30;0;0;0;0
;"10 - 14 years";27;27;0;0;0;0;27;27;0;0;0;0
;"15 - 19 years";18;18;0;0;0;0;17;17;0;0;0;0
"067 Churchtown";"0 - 4 years";19;19;0;0;0;0;24;24;0;0;0;0
;"5 - 9 years";26;26;0;0;0;0;23;23;0;0;0;0
;"10 - 14 years";22;22;0;0;0;0;15;15;0;0;0;0
;"15 - 19 years";18;18;0;0;0;0;18;18;0;0;0;0
"068 Clydagh";"0 - 4 years";5;5;0;0;0;0;1;1;0;0;0;0
;"5 - 9 years";4;4;0;0;0;0;5;5;0;0;0;0
;"10 - 14 years";3;3;0;0;0;0;4;4;0;0;0;0
;"15 - 19 years";5;5;0;0;0;0;6;6;0;0;0;0
"069 Coolies";"0 - 4 years";29;29;0;0;0;0;30;30;0;0;0;0
;"5 - 9 years";51;51;0;0;0;0;35;35;0;0;0;0
;"10 - 14 years";27;27;0;0;0;0;29;29;0;0;0;0
;"15 - 19 years";19;19;0;0;0;0;17;17;0;0;0;0
"070 Coom";"0 - 4 years";67;67;0;0;0;0;49;49;0;0;0;0
;"5 - 9 years";66;66;0;0;0;0;68;68;0;0;0;0
;"10 - 14 years";62;62;0;0;0;0;66;66;0;0;0;0
;"15 - 19 years";73;73;0;0;0;0;62;61;0;1;0;0
"071 Curraghmore";"0 - 4 years";8;8;0;0;0;0;9;9;0;0;0;0
;"5 - 9 years";10;10;0;0;0;0;10;10;0;0;0;0
;"10 - 14 years";12;12;0;0;0;0;9;9;0;0;0;0
;"15 - 19 years";12;12;0;0;0;0;7;7;0;0;0;0
"072 Currans";"0 - 4 years";9;9;0;0;0;0;8;8;0;0;0;0
;"5 - 9 years";8;8;0;0;0;0;8;8;0;0;0;0
;"10 - 14 years";6;6;0;0;0;0;7;7;0;0;0;0
;"15 - 19 years";13;13;0;0;0;0;4;4;0;0;0;0
"073 Doocarrig";"0 - 4 years";14;14;0;0;0;0;22;22;0;0;0;0
;"5 - 9 years";22;22;0;0;0;0;21;21;0;0;0;0
;"10 - 14 years";17;17;0;0;0;0;19;19;0;0;0;0
;"15 - 19 years";17;17;0;0;0;0;16;16;0;0;0;0
"074 Dromin";"0 - 4 years";28;28;0;0;0;0;19;19;0;0;0;0
;"5 - 9 years";18;18;0;0;0;0;26;26;0;0;0;0
;"10 - 14 years";23;23;0;0;0;0;22;22;0;0;0;0
;"15 - 19 years";15;15;0;0;0;0;16;16;0;0;0;0
"075 Dunloe";"0 - 4 years";38;38;0;0;0;0;35;35;0;0;0;0
;"5 - 9 years";31;31;0;0;0;0;20;20;0;0;0;0
;"10 - 14 years";21;21;0;0;0;0;21;21;0;0;0;0
;"15 - 19 years";28;28;0;0;0;0;22;22;0;0;0;0
"076 Flesk";"0 - 4 years";20;20;0;0;0;0;9;9;0;0;0;0
;"5 - 9 years";14;14;0;0;0;0;15;15;0;0;0;0
;"10 - 14 years";20;20;0;0;0;0;14;14;0;0;0;0
;"15 - 19 years";9;9;0;0;0;0;12;12;0;0;0;0
"077 Headfort";"0 - 4 years";33;33;0;0;0;0;22;22;0;0;0;0
;"5 - 9 years";28;28;0;0;0;0;19;19;0;0;0;0
;"10 - 14 years";24;24;0;0;0;0;28;28;0;0;0;0
;"15 - 19 years";14;14;0;0;0;0;14;14;0;0;0;0
"078 Kilbonane";"0 - 4 years";20;20;0;0;0;0;15;15;0;0;0;0
;"5 - 9 years";24;24;0;0;0;0;18;18;0;0;0;0
;"10 - 14 years";13;13;0;0;0;0;19;19;0;0;0;0
;"15 - 19 years";15;15;0;0;0;0;16;16;0;0;0;0
"079 Kilcummin";"0 - 4 years";57;57;0;0;0;0;75;75;0;0;0;0
;"5 - 9 years";51;51;0;0;0;0;46;46;0;0;0;0
;"10 - 14 years";64;64;0;0;0;0;59;59;0;0;0;0
;"15 - 19 years";77;77;0;0;0;0;42;42;0;0;0;0
"080 Kilfelim";"0 - 4 years";9;9;0;0;0;0;9;9;0;0;0;0
;"5 - 9 years";12;12;0;0;0;0;9;9;0;0;0;0
;"10 - 14 years";6;6;0;0;0;0;10;10;0;0;0;0
;"15 - 19 years";4;4;0;0;0;0;3;3;0;0;0;0
"081 Kilgobnet";"0 - 4 years";30;30;0;0;0;0;23;23;0;0;0;0
;"5 - 9 years";31;31;0;0;0;0;30;30;0;0;0;0
;"10 - 14 years";32;32;0;0;0;0;25;25;0;0;0;0
;"15 - 19 years";38;38;0;0;0;0;23;23;0;0;0;0
"082 Killarney Rural";"0 - 4 years";212;212;0;0;0;0;217;217;0;0;0;0
;"5 - 9 years";269;269;0;0;0;0;216;216;0;0;0;0
;"10 - 14 years";234;234;0;0;0;0;210;210;0;0;0;0
;"15 - 19 years";219;217;2;0;0;0;205;204;1;0;0;0
"083 Killeentierna";"0 - 4 years";32;32;0;0;0;0;30;30;0;0;0;0
;"5 - 9 years";25;25;0;0;0;0;28;28;0;0;0;0
;"10 - 14 years";30;30;0;0;0;0;36;36;0;0;0;0
;"15 - 19 years";38;38;0;0;0;0;21;21;0;0;0;0
"084 Killorglin";"0 - 4 years";134;134;0;0;0;0;130;130;0;0;0;0
;"5 - 9 years";135;135;0;0;0;0;128;128;0;0;0;0
;"10 - 14 years";113;113;0;0;0;0;158;158;0;0;0;0
;"15 - 19 years";140;140;0;0;0;0;123;123;0;0;0;0
"085 Kilnanare";"0 - 4 years";35;35;0;0;0;0;41;41;0;0;0;0
;"5 - 9 years";31;31;0;0;0;0;37;37;0;0;0;0
;"10 - 14 years";21;21;0;0;0;0;25;25;0;0;0;0
;"15 - 19 years";15;15;0;0;0;0;27;27;0;0;0;0
"086 Knocknahoe";"0 - 4 years";11;11;0;0;0;0;10;10;0;0;0;0
;"5 - 9 years";18;18;0;0;0;0;8;8;0;0;0;0
;"10 - 14 years";17;17;0;0;0;0;13;13;0;0;0;0
;"15 - 19 years";11;11;0;0;0;0;5;5;0;0;0;0
"087 Lahard";"0 - 4 years";20;20;0;0;0;0;17;17;0;0;0;0
;"5 - 9 years";21;21;0;0;0;0;19;19;0;0;0;0
;"10 - 14 years";24;24;0;0;0;0;25;25;0;0;0;0
;"15 - 19 years";26;26;0;0;0;0;19;19;0;0;0;0
"088 Milltown";"0 - 4 years";45;45;0;0;0;0;48;48;0;0;0;0
;"5 - 9 years";53;53;0;0;0;0;47;47;0;0;0;0
;"10 - 14 years";45;45;0;0;0;0;50;50;0;0;0;0
;"15 - 19 years";52;51;1;0;0;0;49;49;0;0;0;0
"089 Molahiffe";"0 - 4 years";70;70;0;0;0;0;69;69;0;0;0;0
;"5 - 9 years";54;54;0;0;0;0;50;50;0;0;0;0
;"10 - 14 years";45;45;0;0;0;0;47;47;0;0;0;0
;"15 - 19 years";42;42;0;0;0;0;44;44;0;0;0;0
"090 Muckross";"0 - 4 years";25;25;0;0;0;0;18;18;0;0;0;0
;"5 - 9 years";17;17;0;0;0;0;25;25;0;0;0;0
;"10 - 14 years";18;18;0;0;0;0;25;25;0;0;0;0
;"15 - 19 years";25;25;0;0;0;0;15;15;0;0;0;0
"091 Rathmore";"0 - 4 years";54;54;0;0;0;0;43;43;0;0;0;0
;"5 - 9 years";70;70;0;0;0;0;48;48;0;0;0;0
;"10 - 14 years";61;61;0;0;0;0;46;46;0;0;0;0
;"15 - 19 years";62;62;0;0;0;0;64;64;0;0;0;0
"092 Rockfield";"0 - 4 years";17;17;0;0;0;0;13;13;0;0;0;0
;"5 - 9 years";11;11;0;0;0;0;6;6;0;0;0;0
;"10 - 14 years";18;18;0;0;0;0;10;10;0;0;0;0
;"15 - 19 years";18;18;0;0;0;0;17;17;0;0;0;0
"093 Ardagh";"0 - 4 years";25;25;0;0;0;0;13;13;0;0;0;0
;"5 - 9 years";30;30;0;0;0;0;21;21;0;0;0;0
;"10 - 14 years";24;24;0;0;0;0;20;20;0;0;0;0
;"15 - 19 years";31;31;0;0;0;0;26;26;0;0;0;0
"094 Astee";"0 - 4 years";21;21;0;0;0;0;10;10;0;0;0;0
;"5 - 9 years";10;10;0;0;0;0;17;17;0;0;0;0
;"10 - 14 years";19;19;0;0;0;0;10;10;0;0;0;0
;"15 - 19 years";21;21;0;0;0;0;17;17;0;0;0;0
"095 Ballincloher";"0 - 4 years";16;16;0;0;0;0;9;9;0;0;0;0
;"5 - 9 years";13;13;0;0;0;0;19;19;0;0;0;0
;"10 - 14 years";20;20;0;0;0;0;13;13;0;0;0;0
;"15 - 19 years";17;17;0;0;0;0;12;12;0;0;0;0
"096 Ballyconry";"0 - 4 years";12;12;0;0;0;0;17;17;0;0;0;0
;"5 - 9 years";16;16;0;0;0;0;12;12;0;0;0;0
;"10 - 14 years";25;25;0;0;0;0;16;16;0;0;0;0
;"15 - 19 years";13;13;0;0;0;0;16;16;0;0;0;0
"097 Ballyduff";"0 - 4 years";32;32;0;0;0;0;24;24;0;0;0;0
;"5 - 9 years";31;31;0;0;0;0;24;24;0;0;0;0
;"10 - 14 years";30;30;0;0;0;0;24;24;0;0;0;0
;"15 - 19 years";28;28;0;0;0;0;29;29;0;0;0;0
"098 Ballyegan";"0 - 4 years";3;3;0;0;0;0;6;6;0;0;0;0
;"5 - 9 years";4;4;0;0;0;0;6;6;0;0;0;0
;"10 - 14 years";3;3;0;0;0;0;7;7;0;0;0;0
;"15 - 19 years";6;6;0;0;0;0;6;6;0;0;0;0
"099 Ballyhorgan";"0 - 4 years";7;7;0;0;0;0;11;11;0;0;0;0
;"5 - 9 years";14;14;0;0;0;0;22;22;0;0;0;0
;"10 - 14 years";13;13;0;0;0;0;17;17;0;0;0;0
;"15 - 19 years";19;19;0;0;0;0;5;5;0;0;0;0
"100 Beal";"0 - 4 years";5;5;0;0;0;0;6;6;0;0;0;0
;"5 - 9 years";6;6;0;0;0;0;4;4;0;0;0;0
;"10 - 14 years";4;4;0;0;0;0;6;6;0;0;0;0
;"15 - 19 years";6;6;0;0;0;0;9;9;0;0;0;0
"101 Carrig";"0 - 4 years";9;9;0;0;0;0;7;7;0;0;0;0
;"5 - 9 years";18;18;0;0;0;0;14;14;0;0;0;0
;"10 - 14 years";10;10;0;0;0;0;15;15;0;0;0;0
;"15 - 19 years";12;12;0;0;0;0;16;16;0;0;0;0
"102 Causeway";"0 - 4 years";12;12;0;0;0;0;16;16;0;0;0;0
;"5 - 9 years";22;22;0;0;0;0;16;16;0;0;0;0
;"10 - 14 years";22;22;0;0;0;0;23;23;0;0;0;0
;"15 - 19 years";17;17;0;0;0;0;23;23;0;0;0;0
"103 Cloontubbrid";"0 - 4 years";8;8;0;0;0;0;10;10;0;0;0;0
;"5 - 9 years";4;4;0;0;0;0;12;12;0;0;0;0
;"10 - 14 years";12;12;0;0;0;0;12;12;0;0;0;0
;"15 - 19 years";9;9;0;0;0;0;6;6;0;0;0;0
"104 Drommartin";"0 - 4 years";22;22;0;0;0;0;14;14;0;0;0;0
;"5 - 9 years";12;12;0;0;0;0;16;16;0;0;0;0
;"10 - 14 years";13;13;0;0;0;0;12;12;0;0;0;0
;"15 - 19 years";12;12;0;0;0;0;7;7;0;0;0;0
"105 Duagh";"0 - 4 years";8;8;0;0;0;0;10;10;0;0;0;0
;"5 - 9 years";14;14;0;0;0;0;17;17;0;0;0;0
;"10 - 14 years";18;18;0;0;0;0;12;12;0;0;0;0
;"15 - 19 years";10;10;0;0;0;0;9;9;0;0;0;0
"106 Ennismore";"0 - 4 years";18;18;0;0;0;0;16;16;0;0;0;0
;"5 - 9 years";21;21;0;0;0;0;24;24;0;0;0;0
;"10 - 14 years";15;15;0;0;0;0;16;16;0;0;0;0
;"15 - 19 years";27;27;0;0;0;0;27;27;0;0;0;0
"107 Gullane";"0 - 4 years";4;4;0;0;0;0;3;3;0;0;0;0
;"5 - 9 years";6;6;0;0;0;0;7;7;0;0;0;0
;"10 - 14 years";6;6;0;0;0;0;6;6;0;0;0;0
;"15 - 19 years";5;5;0;0;0;0;9;9;0;0;0;0
"108 Gunsborough";"0 - 4 years";10;10;0;0;0;0;8;8;0;0;0;0
;"5 - 9 years";15;15;0;0;0;0;5;5;0;0;0;0
